Country name,Year,Happiness Rank,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Germany,2017,17,6.985,10.71949959,0.892166078,71.90000153,0.840727866,0.141375408,0.414021194,0.736565709,0.196434811,0.622935653,0.982752085,1.737967253,0.306222222,0.319597334
Ghana,2017,94,4.996,8.349396706,0.669111073,56.79999924,0.783046365,0.082861453,0.838609993,0.702511728,0.247518942,0.670288563,0.339194328,-0.086163089,0.426,0.50120151
Greece,2017,79,5.287,10.10945988,0.752899528,72.19999695,0.438300014,-0.291227311,0.87223947,0.60293901,0.332830757,0.139880896,0.291475028,0.12445531,0.346384615,0.346705943
Guatemala,2017,27,6.436,8.912446976,0.826492071,64.5,0.914521694,-0.059932403,0.799747884,0.845865786,0.308086157,0.458623856,-0.427182585,-0.673654079,0.523666667,0.495318562
Guinea,2017,113,4.534,7.600365162,0.634025574,53.29999924,0.738212824,0.046024639,0.750026226,0.704477131,0.422460884,0.639980793,-0.673567533,-1.029090166,0.387,0.618353307
Haiti,2017,139,3.597,7.410451412,0.646984994,55.5,0.484429151,0.380740523,0.647191584,0.573366702,0.321692765,0.435076952,-0.720903516,-1.424440742,0.411,0.574473023
Honduras,2017,58,5.86,8.421077728,0.84335494,67,0.898377419,0.078603566,0.783429444,0.842200935,0.248383343,0.495585024,-0.496900558,-0.677816927,0.5466875,0.561559021
Hong Kong S.A.R. of China,2017,74,5.43,10.9340868,0.83106631,75.90731812,0.830657244,0.128979281,0.415810198,0.63953346,0.200593412,0.545040727,0.637072325,1.849663734,0.386038482,0.471278399
Hungary,2017,61,5.758,10.19531918,0.876747549,67.19999695,0.661165953,-0.145813331,0.886361301,0.735184252,0.180921271,0.377770513,0.589618564,0.445649564,0.297916667,0.330753207
Iceland,2017,4,7.494,10.74684143,0.966752827,73,0.938783288,0.243323684,0.726845384,0.895254552,0.148160011,0.365041941,1.374495268,1.581840873,0.280833333,0.332437903
India,2017,134,4.015,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,0.682090998,0.317936778,0.8392784,-0.22030808,-0.099256828,0.351,0.380112171
Indonesia,2017,89,5.192,9.322663307,0.795589209,61.90000153,0.865026295,0.475460678,0.900416434,0.862584174,0.319171578,0.825765371,-0.190967619,-0.166090265,0.395,0.449708253
Iran,2017,112,4.548,9.856533051,0.714232922,65.69999695,0.730635166,0.186621651,0.714941323,0.693666041,0.438533902,0.502155337,-1.114465237,-0.720983267,0.4134,0.852039635
Iraq,2017,121,4.437,9.659119606,0.695109367,59.59999847,0.627722025,-0.037714854,0.757108808,0.505288541,0.59053874,0.424050778,-1.689633727,-1.369387388,0.2905,0.55036813
Ireland,2017,16,7.021,11.11744022,0.943481982,72.19999695,0.905341148,0.210759684,0.33708474,0.833388925,0.212784126,0.603799641,1.155644417,1.463197708,0.326153846,0.367454171
Israel,2017,13,7.139,10.40826416,0.916440845,73.09999847,0.768076301,0.142772496,0.792652249,0.673591316,0.276443154,0.389368147,-0.091396242,1.126434684,0.4112,0.245601237
Italy,2017,35,6.223,10.4693718,0.919791222,73.40000153,0.632843256,-0.037178084,0.866667926,0.661180735,0.322846144,0.230196297,0.645315766,0.429987013,0.344,0.346708387
Ivory Coast,2017,95,4.944,8.188968658,0.661375344,48.90000153,0.732097924,-0.096848264,0.770940244,0.697735488,0.35745579,0.516654313,-0.683459938,-0.564029217,0.42,0.557953954
Jamaica,2017,55,5.89,9.011104584,0.91302985,67.09999847,0.860676348,-0.128097996,0.882796168,0.769282162,0.243399635,0.348201752,0.47238034,0.076472007,0.469,0.56453526
Japan,2017,57,5.886,10.57137394,0.881961286,74.90000153,0.849396586,-0.217277035,0.659198642,0.740387619,0.17551218,0.412489951,1.064277649,1.519917488,0.321,0.42615369
Jordan,2017,97,4.906,9.028517723,0.814664543,66.59999847,0.766262472,-0.150125921,0.732444523,0.627798378,0.391505182,0.502155337,-0.625526786,0.183538705,0.343,0.363606215
